,movieTitle,year,imageUrl,url
0,While You Were Sleeping,1995,https://a.ltrbxd.com/resized/film-poster/5/0/5/5/7/50557-while-you-were-sleeping-0-125-0-187-crop.jpg?v=83ec42bc7d,https://letterboxd.com/film/while-you-were-sleeping/
1,27 Dresses,2008,https://a.ltrbxd.com/resized/film-poster/4/8/2/5/5/48255-27-dresses-0-125-0-187-crop.jpg?v=d632890d91,https://letterboxd.com/film/27-dresses/
2,Black Angel 2,1999,https://a.ltrbxd.com/resized/film-poster/1/4/1/1/1/14111-black-angel-2-0-125-0-187-crop.jpg?v=4ad23b002a,https://letterboxd.com/film/black-angel-2/
3,The Worst Person in the World,2021,https://a.ltrbxd.com/resized/film-poster/5/8/5/2/5/8/585258-the-worst-person-in-the-world-0-125-0-187-crop.jpg?v=92bc344c27,https://letterboxd.com/film/the-worst-person-in-the-world/
4,One Million Yen Girl,2008,https://a.ltrbxd.com/resized/film-poster/5/4/2/3/6/54236-one-million-yen-girl-0-125-0-187-crop.jpg?v=627fc1d525,https://letterboxd.com/film/one-million-yen-girl/
5,Showing Up,2022,https://a.ltrbxd.com/resized/film-poster/7/0/8/4/5/8/708458-showing-up-0-125-0-187-crop.jpg?v=22d7ad84e0,https://letterboxd.com/film/showing-up-2022/
6,Perfect,1985,https://a.ltrbxd.com/resized/film-poster/1/6/2/3/1/16231-perfect-0-125-0-187-crop.jpg?v=d432475a97,https://letterboxd.com/film/perfect/
7,Suzume,2022,https://a.ltrbxd.com/resized/film-poster/8/2/2/2/8/1/822281-suzume-0-125-0-187-crop.jpg?v=fadaf47b7f,https://letterboxd.com/film/suzume/
8,Maurice's Bar,2023,https://a.ltrbxd.com/resized/film-poster/1/0/1/0/5/6/3/1010563-maurice-s-bar-0-125-0-187-crop.jpg?v=c1a3c5b15d,https://letterboxd.com/film/maurices-bar/
9,I Saw the TV Glow,2024,https://a.ltrbxd.com/resized/film-poster/7/7/2/2/3/0/772230-i-saw-the-tv-glow-0-125-0-187-crop.jpg?v=c5e712bb90,https://letterboxd.com/film/i-saw-the-tv-glow/
10,The Idea of You,2024,https://a.ltrbxd.com/resized/film-poster/7/5/8/3/9/7/758397-the-idea-of-you-0-125-0-187-crop.jpg?v=8c9e3b74af,https://letterboxd.com/film/the-idea-of-you-2024/
11,Monkey Man,2024,https://a.ltrbxd.com/resized/film-poster/4/8/8/7/5/1/488751-monkey-man-0-125-0-187-crop.jpg?v=0c25a18552,https://letterboxd.com/film/monkey-man/
12,Komaneko the Curious Cat,2009,https://a.ltrbxd.com/resized/film-poster/4/6/8/6/4686-komaneko-the-curious-cat-0-125-0-187-crop.jpg?v=deaab1dfb9,https://letterboxd.com/film/komaneko-the-curious-cat/
13,Natural Born Killers,1994,https://a.ltrbxd.com/resized/film-poster/5/1/8/1/5/51815-natural-born-killers-0-125-0-187-crop.jpg?v=9b5fec11e1,https://letterboxd.com/film/natural-born-killers/
14,Urban Cowboy,1980,https://a.ltrbxd.com/resized/film-poster/6/0/1/2/3/60123-urban-cowboy-0-125-0-187-crop.jpg?v=dc326dd84c,https://letterboxd.com/film/urban-cowboy/
15,Perfect Days,2023,https://a.ltrbxd.com/resized/film-poster/8/7/9/2/2/9/879229-perfect-days-0-125-0-187-crop.jpg?v=4ea80661fd,https://letterboxd.com/film/perfect-days-2023/
16,Treyf,1998,https://a.ltrbxd.com/resized/film-poster/3/5/1/4/5/5/351455-treyf-0-125-0-187-crop.jpg?v=2541e9bcc4,https://letterboxd.com/film/treyf/
